Feature,RandomForest,DecisionTree,XGBoost
ph,0.9542936794485883,0.4538596345910394,0.12810391
Hardness,0.814531885817107,0.44172280140006676,0.12618959
Solids,0.7305013771762854,0.40248186523112595,0.12503529
Chloramines,0.8889541182318906,0.49689574526645164,0.121787086
Sulfate,1.0,0.6227842333411318,0.14478113
Conductivity,0.6561163288126726,0.2025302866380866,0.103653
Organic_carbon,0.7171725201310112,0.22329687109217386,0.10222567
Trihalomethanes,0.5804912510208653,0.22365378471435368,0.11023576
Turbidity,0.6070890689983763,0.19444992330636052,0.10672504
Solids_log,0.7098529424843281,0.21324224528735844,0.11424345
Trihalomethanes_log,0.5692007947285344,0.19233497904095903,0.11699693
Cond_Hardness_ratio,0.7076930732176671,0.1681163210518631,0.11580381
Turbidity_norm,0.6202780553942879,0.241886821037279,0.0
ph_category_alkaline,0.32499497900155566,0.19453880814183963,0.4963471
ph_category_neutral,0.6420161748194022,1.0,1.0
ph_category_nan,0.0,0.0,0.0
